UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,id
1,56.0-,Mle,Pakistan,$82812.000,True,True,job:engineer,rURAL,INSTAGRAM,80,17.0.0,4229,Pranks,24.0,7867.0.0,5,26.0.0,22.0,87:,Night,3.0.0,7.0.:,/Procrastination,Smrtphone,Android,9:00 PM,5.0.0,5.0.0,Commuting,Mobile-Data,1
2,46.0-,Fmle,xMexico,$27999.000,False,True,job:Artist,uRBAN,INSTAGRAM,228,14.0.0,2131,Pranks,19.0,5944.0.0,6,25.0.0,31.0,46:,Afternoon,5.0.0,5.0.:,/Habit,Computer,Android,5:00 PM,7.0.0,3.0.0,Atschool,Wi-Fi,2
3,32.0-,Fmle,xUnited States,$42436.000,False,True,job:engineer,rURAL,FACEBOOK,30,6.0.0,4367,Vlogs,19.0,8674.0.0,3,9.0.0,7.0,88:,Evening,6.0.0,4.0.:,/Entertainment,Tablett,Android,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,3
4,60.0-,Mle,xBrazil,$62963.000,True,False,job:Waiting staff,rURAL,youtube,101,19.0.0,1507,Vlogs,4.0,2477.0.0,2,6.0.0,41.0,93:,Night,3.0.0,7.0.:,/Habit,Smrtphone,Android,9:00 PM,5.0.0,5.0.0,Commuting,Mobile-Data,4
5,25.0-,Mle,xPakistan,$22096.000,False,True,job:Manager,uRBAN,tiktok,136,6.0.0,2159,Gming,19.0,3093.0.0,7,13.0.0,21.0,4:,Morning,8.0.0,2.0.:,/Boredom,Smrtphone,iOS,8:00 AM,10.0.0,0.0.0,Athome,Mobile-Data,5
6,38.0-,Mle,Vietnam,$45279.000,False,False,job:driver,uRBAN,instagram,89,18.0.0,2917,Jokes/Memes,9.0,8534.0.0,5,27.0.0,16.0,38:,Night,3.0.0,7.0.:,/Entertainment,Computer,Android,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,6
7,56.0-,Mle,xIndia,$46201.000,False,False,job:Students,rURAL,TIKTOK,247,5.0.0,3230,Vlogs,16.0,7207.0.0,9,22.0.0,20.0,63:,Morning,8.0.0,2.0.:,/Habit,Smrtphone,Android,8:00 AM,10.0.0,0.0.0,Atschool,Wi-Fi,7
8,36.0-,Mle,Brazil,$39715.000,False,False,job:engineer,rURAL,instagram,191,6.0.0,9859,Entertainment,27.0,9654.0.0,3,28.0.0,43.0,29:,Night,3.0.0,7.0.:,/Entertainment,Tablett,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,8
9,40.0-,Mle,United States,$49309.000,False,False,job:waiting staff,rURAL,instagram,34,2.0.0,6266,Vlogs,4.0,9394.0.0,8,20.0.0,44.0,19:,Night,3.0.0,7.0.:,/Entertainment,Computer,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,9
10,28.0-,Other,xUnited States,$35078.000,False,False,job:Students,rURAL,youtube,165,8.0.0,4137,ASMR,6.0,9813.0.0,6,4.0.0,47.0,91:,Evening,6.0.0,4.0.:,/Boredom,Smrtphone,iOS,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,10
